ro,x_um,y_um,ncells,ring_cap_fF
0,271.256,104.210,32,14.93
1,286.465,92.225,32,16.29
2,267.361,80.155,32,15.55
3,256.392,116.705,32,16.39
4,257.873,94.010,32,10.96
5,282.986,81.260,32,13.47
6,253.589,80.240,32,14.36
7,290.059,102.510,32,12.36
8,288.707,129.625,32,16.24
9,286.839,117.470,32,14.98
10,271.903,119.000,32,14.22
11,259.857,129.710,32,12.36
12,280.571,140.590,32,16.49
13,256.766,142.120,32,12.90
14,263.307,157.675,32,17.38
15,297.088,141.950,32,15.74
