 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749734e-09  0.00000000e+00  2.46749746e-09 
 2.57850000e-09  9.42483958e-01  2.57850000e-09  3.11698134e-09  2.57850000e-09  2.46777992e-09 
 2.57950000e-09  9.78662038e-01  2.57950000e-09  3.17377899e-09  2.57950000e-09  2.46773657e-09 
 2.58050000e-09  1.01493358e+00  2.58050000e-09  3.22772090e-09  2.58050000e-09  2.46770870e-09 
 2.58150000e-09  1.05104685e+00  2.58150000e-09  3.12966156e-09  2.58150000e-09  2.46742887e-09 
 2.58250000e-09  1.08686466e+00  2.58250000e-09  3.09094522e-09  2.58250000e-09  2.46764242e-09 
 2.58350000e-09  1.12238679e+00  2.58350000e-09  2.71295642e-09  2.58350000e-09  2.46703402e-09 
 2.77750000e-09  1.94999827e+00  2.77750000e-09  8.64746928e-01  2.77750000e-09 -8.54048046e-05 
 2.77850000e-09  1.94999922e+00  2.77850000e-09  9.27364956e-01  2.77850000e-09 -1.11800061e-04 
 2.77950000e-09  1.94999842e+00  2.77950000e-09  9.89078757e-01  2.77950000e-09 -1.28060814e-04 
 2.78050000e-09  1.94999937e+00  2.78050000e-09  1.04987920e+00  2.78050000e-09 -1.38302144e-04 
 2.78150000e-09  1.94999858e+00  2.78150000e-09  1.10981350e+00  2.78150000e-09 -1.49830961e-04 
 2.78250000e-09  1.94999950e+00  2.78250000e-09  1.16908381e+00  2.78250000e-09 -1.64316772e-04 
 2.89850000e-09  1.94999976e+00  2.89850000e-09  1.94993172e+00  2.89850000e-09  8.99379447e-01 
 2.89950000e-09  1.94999949e+00  2.89950000e-09  1.94993876e+00  2.89950000e-09  9.59506655e-01 
 2.90050000e-09  1.94999981e+00  2.90050000e-09  1.94994514e+00  2.90050000e-09  1.01913735e+00 
 2.90150000e-09  1.94999954e+00  2.90150000e-09  1.94995157e+00  2.90150000e-09  1.08146249e+00 
 2.90250000e-09  1.94999985e+00  2.90250000e-09  1.94995435e+00  2.90250000e-09  1.15049304e+00 
