ro,x_um,y_um,ncells,ring_cap_fF
0,271.256,104.210,32,16.70
1,286.465,92.225,32,14.44
2,267.361,80.155,32,16.33
3,256.392,116.705,32,16.57
4,257.873,94.010,32,11.72
5,282.986,81.260,32,12.15
6,253.589,80.240,32,14.07
7,290.059,102.510,32,10.86
8,288.707,129.625,32,12.85
9,286.839,117.470,32,13.60
10,271.903,119.000,32,14.18
11,259.857,129.710,32,11.93
12,280.571,140.590,32,14.96
13,256.766,142.120,32,14.16
14,263.307,157.675,32,17.04
15,297.088,141.950,32,12.97
