
Note: No compatibility mode selected!


Circuit: * operating point and noise floor: 16 arm a rings, tt, -40 c, 1.62 v

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vpwr                                      1.62
en                                           0
x0_n0                                     1.62
x0_n30                                    1.62
x0_n1                              1.63716e-09
x0_n2                                     1.62
x0_n3                              1.63716e-09
x0_n4                                     1.62
x0_n5                              1.63716e-09
x0_n6                                     1.62
x0_n7                              1.63716e-09
x0_n8                                     1.62
x0_n9                              1.63716e-09
x0_n10                                    1.62
x0_n11                             1.63716e-09
x0_n12                                    1.62
x0_n13                             1.63716e-09
x0_n14                                    1.62
x0_n15                             1.63716e-09
x0_n16                                    1.62
x0_n17                             1.63716e-09
x0_n18                                    1.62
x0_n19                             1.63716e-09
x0_n20                                    1.62
x0_n21                             1.63716e-09
x0_n22                                    1.62
x0_n23                             1.63716e-09
x0_n24                                    1.62
x0_n25                             1.63716e-09
x0_n26                                    1.62
x0_n27                             1.63716e-09
x0_n28                                    1.62
x0_n29                             1.63716e-09
x0_out                             1.97884e-09
x1_n0                                     1.62
x1_n30                                    1.62
x1_n1                              1.63716e-09
x1_n2                                     1.62
x1_n3                              1.63716e-09
x1_n4                                     1.62
x1_n5                              1.63716e-09
x1_n6                                     1.62
x1_n7                              1.63716e-09
x1_n8                                     1.62
x1_n9                              1.63716e-09
x1_n10                                    1.62
x1_n11                             1.63716e-09
x1_n12                                    1.62
x1_n13                             1.63716e-09
x1_n14                                    1.62
x1_n15                             1.63716e-09
x1_n16                                    1.62
x1_n17                             1.63716e-09
x1_n18                                    1.62
x1_n19                             1.63716e-09
x1_n20                                    1.62
x1_n21                             1.63716e-09
x1_n22                                    1.62
x1_n23                             1.63716e-09
x1_n24                                    1.62
x1_n25                             1.63716e-09
x1_n26                                    1.62
x1_n27                             1.63716e-09
x1_n28                                    1.62
x1_n29                             1.63716e-09
x1_out                             1.97884e-09
x2_n0                                     1.62
x2_n30                                    1.62
x2_n1                              1.63716e-09
x2_n2                                     1.62
x2_n3                              1.63716e-09
x2_n4                                     1.62
x2_n5                              1.63716e-09
x2_n6                                     1.62
x2_n7                              1.63716e-09
x2_n8                                     1.62
x2_n9                              1.63716e-09
x2_n10                                    1.62
x2_n11                             1.63716e-09
x2_n12                                    1.62
x2_n13                             1.63716e-09
x2_n14                                    1.62
x2_n15                             1.63716e-09
x2_n16                                    1.62
x2_n17                             1.63716e-09
x2_n18                                    1.62
x2_n19                             1.63716e-09
x2_n20                                    1.62
x2_n21                             1.63716e-09
x2_n22                                    1.62
x2_n23                             1.63716e-09
x2_n24                                    1.62
x2_n25                             1.63716e-09
x2_n26                                    1.62
x2_n27                             1.63716e-09
x2_n28                                    1.62
x2_n29                             1.63716e-09
x2_out                             1.97884e-09
x3_n0                                     1.62
x3_n30                                    1.62
x3_n1                              1.63716e-09
x3_n2                                     1.62
x3_n3                              1.63716e-09
x3_n4                                     1.62
x3_n5                              1.63716e-09
x3_n6                                     1.62
x3_n7                              1.63716e-09
x3_n8                                     1.62
x3_n9                              1.63716e-09
x3_n10                                    1.62
x3_n11                             1.63716e-09
x3_n12                                    1.62
x3_n13                             1.63716e-09
x3_n14                                    1.62
x3_n15                             1.63716e-09
x3_n16                                    1.62
x3_n17                             1.63716e-09
x3_n18                                    1.62
x3_n19                             1.63716e-09
x3_n20                                    1.62
x3_n21                             1.63716e-09
x3_n22                                    1.62
x3_n23                             1.63716e-09
x3_n24                                    1.62
x3_n25                             1.63716e-09
x3_n26                                    1.62
x3_n27                             1.63716e-09
x3_n28                                    1.62
x3_n29                             1.63716e-09
x3_out                             1.97884e-09
x4_n0                                     1.62
x4_n30                                    1.62
x4_n1                              1.63716e-09
x4_n2                                     1.62
x4_n3                              1.63716e-09
x4_n4                                     1.62
x4_n5                              1.63716e-09
x4_n6                                     1.62
x4_n7                              1.63716e-09
x4_n8                                     1.62
x4_n9                              1.63716e-09
x4_n10                                    1.62
x4_n11                             1.63716e-09
x4_n12                                    1.62
x4_n13                             1.63716e-09
x4_n14                                    1.62
x4_n15                             1.63716e-09
x4_n16                                    1.62
x4_n17                             1.63716e-09
x4_n18                                    1.62
x4_n19                             1.63716e-09
x4_n20                                    1.62
x4_n21                             1.63716e-09
x4_n22                                    1.62
x4_n23                             1.63716e-09
x4_n24                                    1.62
x4_n25                             1.63716e-09
x4_n26                                    1.62
x4_n27                             1.63716e-09
x4_n28                                    1.62
x4_n29                             1.63716e-09
x4_out                             1.97884e-09
x5_n0                                     1.62
x5_n30                                    1.62
x5_n1                              1.63716e-09
x5_n2                                     1.62
x5_n3                              1.63716e-09
x5_n4                                     1.62
x5_n5                              1.63716e-09
x5_n6                                     1.62
x5_n7                              1.63716e-09
x5_n8                                     1.62
x5_n9                              1.63716e-09
x5_n10                                    1.62
