
Note: No compatibility mode selected!


Circuit: * operating point and noise floor: 16 arm a rings, tt, -40 c, 1.62 v

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver
Note: Starting dynamic gmin stepping
Warning: Dynamic gmin stepping failed
Note: Starting true gmin stepping
Note: True gmin stepping completed

Initial Transient Solution
--------------------------

Node                                   Voltage
x5_n11                             1.63716e-09
x5_n12                                    1.62
x5_n13                             1.63716e-09
x5_n14                                    1.62
x5_n15                             1.63716e-09
x5_n16                                    1.62
x5_n17                             1.63716e-09
x5_n18                                    1.62
x5_n19                             1.63716e-09
x5_n20                                    1.62
x5_n21                             1.63716e-09
x5_n22                                    1.62
x5_n23                             1.63716e-09
x5_n24                                    1.62
x5_n25                             1.63716e-09
x5_n26                                    1.62
x5_n27                             1.63716e-09
x5_n28                                    1.62
x5_n29                             1.63716e-09
x5_out                             1.97884e-09
x6_n0                                     1.62
x6_n30                                    1.62
x6_n1                              1.63716e-09
x6_n2                                     1.62
x6_n3                              1.63716e-09
x6_n4                                     1.62
x6_n5                              1.63716e-09
x6_n6                                     1.62
x6_n7                              1.63716e-09
x6_n8                                     1.62
x6_n9                              1.63716e-09
x6_n10                                    1.62
x6_n11                             1.63716e-09
x6_n12                                    1.62
x6_n13                             1.63716e-09
x6_n14                                    1.62
x6_n15                             1.63716e-09
x6_n16                                    1.62
x6_n17                             1.63716e-09
x6_n18                                    1.62
x6_n19                             1.63716e-09
x6_n20                                    1.62
x6_n21                             1.63716e-09
x6_n22                                    1.62
x6_n23                             1.63716e-09
x6_n24                                    1.62
x6_n25                             1.63716e-09
x6_n26                                    1.62
x6_n27                             1.63716e-09
x6_n28                                    1.62
x6_n29                             1.63716e-09
x6_out                             1.97884e-09
x7_n0                                     1.62
x7_n30                                    1.62
x7_n1                              1.63716e-09
x7_n2                                     1.62
x7_n3                              1.63716e-09
x7_n4                                     1.62
x7_n5                              1.63716e-09
x7_n6                                     1.62
x7_n7                              1.63716e-09
x7_n8                                     1.62
x7_n9                              1.63716e-09
x7_n10                                    1.62
x7_n11                             1.63716e-09
x7_n12                                    1.62
x7_n13                             1.63716e-09
x7_n14                                    1.62
x7_n15                             1.63716e-09
x7_n16                                    1.62
x7_n17                             1.63716e-09
x7_n18                                    1.62
x7_n19                             1.63716e-09
x7_n20                                    1.62
x7_n21                             1.63716e-09
x7_n22                                    1.62
x7_n23                             1.63716e-09
x7_n24                                    1.62
x7_n25                             1.63716e-09
x7_n26                                    1.62
x7_n27                             1.63716e-09
x7_n28                                    1.62
x7_n29                             1.63716e-09
x7_out                             1.97884e-09
x8_n0                                     1.62
x8_n30                                    1.62
x8_n1                              1.63716e-09
x8_n2                                     1.62
x8_n3                              1.63716e-09
x8_n4                                     1.62
x8_n5                              1.63716e-09
x8_n6                                     1.62
x8_n7                              1.63716e-09
x8_n8                                     1.62
x8_n9                              1.63716e-09
x8_n10                                    1.62
x8_n11                             1.63716e-09
x8_n12                                    1.62
x8_n13                             1.63716e-09
x8_n14                                    1.62
x8_n15                             1.63716e-09
x8_n16                                    1.62
x8_n17                             1.63716e-09
x8_n18                                    1.62
x8_n19                             1.63716e-09
x8_n20                                    1.62
x8_n21                             1.63716e-09
x8_n22                                    1.62
x8_n23                             1.63716e-09
x8_n24                                    1.62
x8_n25                             1.63716e-09
x8_n26                                    1.62
x8_n27                             1.63716e-09
x8_n28                                    1.62
x8_n29                             1.63716e-09
x8_out                             1.97884e-09
x9_n0                                     1.62
x9_n30                                    1.62
x9_n1                              1.63716e-09
x9_n2                                     1.62
x9_n3                              1.63716e-09
x9_n4                                     1.62
x9_n5                              1.63716e-09
x9_n6                                     1.62
x9_n7                              1.63716e-09
x9_n8                                     1.62
x9_n9                              1.63716e-09
x9_n10                                    1.62
x9_n11                             1.63716e-09
x9_n12                                    1.62
x9_n13                             1.63716e-09
x9_n14                                    1.62
x9_n15                             1.63716e-09
x9_n16                                    1.62
x9_n17                             1.63716e-09
x9_n18                                    1.62
x9_n19                             1.63716e-09
x9_n20                                    1.62
x9_n21                             1.63716e-09
x9_n22                                    1.62
x9_n23                             1.63716e-09
x9_n24                                    1.62
x9_n25                             1.63716e-09
x9_n26                                    1.62
x9_n27                             1.63716e-09
x9_n28                                    1.62
x9_n29                             1.63716e-09
x9_out                             1.97884e-09
x10_n0                                    1.62
x10_n30                                   1.62
x10_n1                             1.63716e-09
x10_n2                                    1.62
x10_n3                             1.63716e-09
x10_n4                                    1.62
x10_n5                             1.63716e-09
x10_n6                                    1.62
x10_n7                             1.63716e-09
x10_n8                                    1.62
x10_n9                             1.63716e-09
x10_n10                                   1.62
x10_n11                            1.63716e-09
x10_n12                                   1.62
x10_n13                            1.63716e-09
x10_n14                                   1.62
x10_n15                            1.63716e-09
x10_n16                                   1.62
x10_n17                            1.63716e-09
x10_n18                                   1.62
x10_n19                            1.63716e-09
x10_n20                                   1.62
x10_n21                            1.63716e-09
x10_n22                                   1.62
x10_n23                            1.63716e-09
x10_n24                                   1.62
x10_n25                            1.63716e-09
x10_n26                                   1.62
x10_n27                            1.63716e-09
x10_n28                                   1.62
x10_n29                            1.63716e-09
x10_out                            1.97884e-09
x11_n0                                    1.62
x11_n30                                   1.62
x11_n1                             1.63716e-09
x11_n2                                    1.62
x11_n3                             1.63716e-09
x11_n4                                    1.62
x11_n5                             1.63716e-09
x11_n6                                    1.62
x11_n7                             1.63716e-09
x11_n8                                    1.62
x11_n9                             1.63716e-09
x11_n10                                   1.62
x11_n11                            1.63716e-09
x11_n12                                   1.62
x11_n13                            1.63716e-09
x11_n14                                   1.62
x11_n15                            1.63716e-09
x11_n16                                   1.62
x11_n17                            1.63716e-09
x11_n18                                   1.62
x11_n19                            1.63716e-09
x11_n20                                   1.62
x11_n21                            1.63716e-09
x11_n22                                   1.62
x11_n23                            1.63716e-09
x11_n24                                   1.62
x11_n25                            1.63716e-09
x11_n26                                   1.62
x11_n27                            1.63716e-09
x11_n28                                   1.62
x11_n29                            1.63716e-09
x11_out                            1.97884e-09
x12_n0                                    1.62
x12_n30                                   1.62
x12_n1                             1.63716e-09
x12_n2                                    1.62
x12_n3                             1.63716e-09
x12_n4                                    1.62
x12_n5                             1.63716e-09
x12_n6                                    1.62
x12_n7                             1.63716e-09
x12_n8                                    1.62
x12_n9                             1.63716e-09
x12_n10                                   1.62
x12_n11                            1.63716e-09
x12_n12                                   1.62
x12_n13                            1.63716e-09
x12_n14                                   1.62
x12_n15                            1.63716e-09
x12_n16                                   1.62
x12_n17                            1.63716e-09
x12_n18                                   1.62
x12_n19                            1.63716e-09
x12_n20                                   1.62
x12_n21                            1.63716e-09
x12_n22                                   1.62
x12_n23                            1.63716e-09
x12_n24                                   1.62
x12_n25                            1.63716e-09
x12_n26                                   1.62
x12_n27                            1.63716e-09
x12_n28                                   1.62
x12_n29                            1.63716e-09
x12_out                            1.97884e-09
x13_n0                                    1.62
x13_n30                                   1.62
x13_n1                             1.63716e-09
x13_n2                                    1.62
x13_n3                             1.63716e-09
x13_n4                                    1.62
x13_n5                             1.63716e-09
x13_n6                                    1.62
x13_n7                             1.63716e-09
x13_n8                                    1.62
x13_n9                             1.63716e-09
x13_n10                                   1.62
x13_n11                            1.63716e-09
x13_n12                                   1.62
x13_n13                            1.63716e-09
x13_n14                                   1.62
x13_n15                            1.63716e-09
x13_n16                                   1.62
x13_n17                            1.63716e-09
x13_n18                                   1.62
x13_n19                            1.63716e-09
x13_n20                                   1.62
x13_n21                            1.63716e-09
x13_n22                                   1.62
x13_n23                            1.63716e-09
x13_n24                                   1.62
x13_n25                            1.63716e-09
x13_n26                                   1.62
x13_n27                            1.63716e-09
x13_n28                                   1.62
x13_n29                            1.63716e-09
x13_out                            1.97884e-09
x14_n0                                    1.62
x14_n30                                   1.62
x14_n1                             1.63716e-09
x14_n2                                    1.62
x14_n3                             1.63716e-09
x14_n4                                    1.62
x14_n5                             1.63716e-09
x14_n6                                    1.62
x14_n7                             1.63716e-09
x14_n8                                    1.62
x14_n9                             1.63716e-09
x14_n10                                   1.62
x14_n11                            1.63716e-09
x14_n12                                   1.62
x14_n13                            1.63716e-09
x14_n14                                   1.62
x14_n15                            1.63716e-09
x14_n16                                   1.62
x14_n17                            1.63716e-09
x14_n18                                   1.62
x14_n19                            1.63716e-09
x14_n20                                   1.62
x14_n21                            1.63716e-09
x14_n22                                   1.62
x14_n23                            1.63716e-09
x14_n24                                   1.62
x14_n25                            1.63716e-09
x14_n26                                   1.62
x14_n27                            1.63716e-09
x14_n28                                   1.62
x14_n29                            1.63716e-09
x14_out                            1.97884e-09
x15_n0                                    1.62
x15_n30                                   1.62
x15_n1                             1.63716e-09
x15_n2                                    1.62
x15_n3                             1.63716e-09
x15_n4                                    1.62
x15_n5                             1.63716e-09
x15_n6                                    1.62
x15_n7                             1.63716e-09
x15_n8                                    1.62
x15_n9                             1.63716e-09
x15_n10                                   1.62
x15_n11                            1.63716e-09
x15_n12                                   1.62
x15_n13                            1.63716e-09
x15_n14                                   1.62
x15_n15                            1.63716e-09
x15_n16                                   1.62
x15_n17                            1.63716e-09
x15_n18                                   1.62
x15_n19                            1.63716e-09
x15_n20                                   1.62
x15_n21                            1.63716e-09
x15_n22                                   1.62
x15_n23                            1.63716e-09
x15_n24                                   1.62
x15_n25                            1.63716e-09
x15_n26                                   1.62
x15_n27                            1.63716e-09
x15_n28                                   1.62
x15_n29                            1.63716e-09
x15_out                            1.97884e-09
ven#branch                                   0
vdd#branch                        -9.12068e-10


No. of Data Rows : 24014
tp0                 =  4.847346e-08 targ=  6.089100e-08 trig=  1.241754e-08
tp1                 =  4.743702e-08 targ=  5.964391e-08 trig=  1.220690e-08
tp2                 =  4.826683e-08 targ=  6.064056e-08 trig=  1.237373e-08
tp3                 =  4.840542e-08 targ=  6.080388e-08 trig=  1.239847e-08
tp4                 =  4.626825e-08 targ=  5.819566e-08 trig=  1.192742e-08
tp5                 =  4.642633e-08 targ=  5.842152e-08 trig=  1.199519e-08
tp6                 =  4.731558e-08 targ=  5.949309e-08 trig=  1.217751e-08
tp7                 =  4.587758e-08 targ=  5.776344e-08 trig=  1.188586e-08
tp8                 =  4.675604e-08 targ=  5.881840e-08 trig=  1.206237e-08
tp9                 =  4.710051e-08 targ=  5.923156e-08 trig=  1.213105e-08
tp10                =  4.732616e-08 targ=  5.950274e-08 trig=  1.217658e-08
tp11                =  4.635489e-08 targ=  5.831731e-08 trig=  1.196242e-08
tp12                =  4.769488e-08 targ=  5.995964e-08 trig=  1.226476e-08
tp13                =  4.734933e-08 targ=  5.951954e-08 trig=  1.217021e-08
tp14                =  4.861411e-08 targ=  6.105953e-08 trig=  1.244542e-08
tp15                =  4.680147e-08 targ=  5.887841e-08 trig=  1.207694e-08
f0 = 4.125969e+08
f1 = 4.216116e+08
f2 = 4.143632e+08
f3 = 4.131769e+08
f4 = 4.322619e+08
f5 = 4.307900e+08
f6 = 4.226938e+08
f7 = 4.359428e+08
f8 = 4.277522e+08
f9 = 4.246239e+08
f10 = 4.225993e+08
f11 = 4.314539e+08
f12 = 4.193322e+08
f13 = 4.223925e+08
f14 = 4.114032e+08
f15 = 4.273370e+08
Note: Simulation executed from .control section 
