ro,x_um,y_um,ncells,ring_cap_fF
0,nan,nan,0,13.16
1,nan,nan,0,13.44
2,nan,nan,0,13.24
3,nan,nan,0,13.67
4,nan,nan,0,15.11
5,nan,nan,0,15.60
6,nan,nan,0,17.28
7,nan,nan,0,14.00
8,nan,nan,0,13.80
9,nan,nan,0,14.75
10,nan,nan,0,16.00
11,nan,nan,0,15.10
12,nan,nan,0,14.83
13,nan,nan,0,14.20
14,nan,nan,0,18.23
15,nan,nan,0,12.03
