 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749732e-09  0.00000000e+00  2.46749746e-09 
 1.00150000e-09  4.68906347e-09  1.00150000e-09  3.68789478e-05  1.00150000e-09  6.00721615e-04 
 2.57850000e-09  9.42483175e-01  2.57850000e-09  2.96620592e-09  2.57850000e-09  2.46768933e-09 
 2.57950000e-09  9.78660907e-01  2.57950000e-09  2.96600561e-09  2.57950000e-09  2.46768500e-09 
 2.58050000e-09  1.01493470e+00  2.58050000e-09  2.96338296e-09  2.58050000e-09  2.46768123e-09 
 2.58150000e-09  1.05105137e+00  2.58150000e-09  2.95976432e-09  2.58150000e-09  2.46767956e-09 
 2.58250000e-09  1.08687118e+00  2.58250000e-09  2.95071398e-09  2.58250000e-09  2.46767362e-09 
 2.58350000e-09  1.12239264e+00  2.58350000e-09  2.94522121e-09  2.58350000e-09  2.46768239e-09 
 3.11450000e-09  1.14102152e+00  3.11450000e-09  2.74955353e-09  3.11450000e-09  2.46547716e-09 
 3.11550000e-09  1.08872964e+00  3.11550000e-09  2.69649506e-09  3.11550000e-09  2.46965770e-09 
 3.11650000e-09  1.03654387e+00  3.11650000e-09  2.74974638e-09  3.11650000e-09  2.46551457e-09 
 3.11750000e-09  9.84360362e-01  3.11750000e-09  2.69798212e-09  3.11750000e-09  2.46962162e-09 
 3.11850000e-09  9.32151502e-01  3.11850000e-09  2.75088449e-09  3.11850000e-09  2.46555076e-09 
 3.11950000e-09  8.79853413e-01  3.11950000e-09  2.69749523e-09  3.11950000e-09  2.46958248e-09 
 3.70050000e-09  9.44245967e-01  3.70050000e-09  2.80057350e-09  3.70050000e-09  2.47799736e-09 
 3.70150000e-09  9.81251246e-01  3.70150000e-09  2.77465881e-09  3.70150000e-09  2.45713194e-09 
 3.70250000e-09  1.01797971e+00  3.70250000e-09  2.78422913e-09  3.70250000e-09  2.47787713e-09 
 3.70350000e-09  1.05434477e+00  3.70350000e-09  2.75728668e-09  3.70350000e-09  2.45723664e-09 
 3.70450000e-09  1.09033432e+00  3.70450000e-09  2.77650250e-09  3.70450000e-09  2.47779958e-09 
 3.70550000e-09  1.12605218e+00  3.70550000e-09  2.76324716e-09  3.70550000e-09  2.45735782e-09 
 4.23650000e-09  1.14427172e+00  4.23650000e-09  2.53648685e-09  4.23650000e-09  2.46187853e-09 
 4.23750000e-09  1.09197164e+00  4.23750000e-09  2.57469898e-09  4.23750000e-09  2.47313930e-09 
 4.23850000e-09  1.03978355e+00  4.23850000e-09  2.53786303e-09  4.23850000e-09  2.46192705e-09 
 4.23950000e-09  9.87600010e-01  4.23950000e-09  2.57564073e-09  4.23950000e-09  2.47308901e-09 
 4.24050000e-09  9.35395469e-01  4.24050000e-09  2.53943705e-09  4.24050000e-09  2.46197496e-09 
 4.24150000e-09  8.83102148e-01  4.24150000e-09  2.57581126e-09  4.24150000e-09  2.47304283e-09 
 4.82250000e-09  9.42111738e-01  4.82250000e-09  2.71351328e-09  4.82250000e-09  2.47781606e-09 
 4.82350000e-09  9.79130802e-01  4.82350000e-09  2.69505251e-09  4.82350000e-09  2.45726406e-09 
 4.82450000e-09  1.01587781e+00  4.82450000e-09  2.69783737e-09  4.82450000e-09  2.47769494e-09 
 4.82550000e-09  1.05227299e+00  4.82550000e-09  2.67691236e-09  4.82550000e-09  2.45736587e-09 
 4.82650000e-09  1.08828962e+00  4.82650000e-09  2.68896214e-09  4.82650000e-09  2.47761645e-09 
 4.82750000e-09  1.12401851e+00  4.82750000e-09  2.68314465e-09  4.82750000e-09  2.45749271e-09 
 5.35850000e-09  1.14680070e+00  5.35850000e-09  2.48803453e-09  5.35850000e-09  2.46062509e-09 
 5.35950000e-09  1.09449600e+00  5.35950000e-09  2.52394888e-09  5.35950000e-09  2.47435938e-09 
 5.36050000e-09  1.04230358e+00  5.36050000e-09  2.48946602e-09  5.36050000e-09  2.46068832e-09 
 5.36150000e-09  9.90121887e-01  5.36150000e-09  2.52464405e-09  5.36150000e-09  2.47429682e-09 
 5.36250000e-09  9.37918593e-01  5.36250000e-09  2.49078730e-09  5.36250000e-09  2.46074999e-09 
 5.36350000e-09  8.85630274e-01  5.36350000e-09  2.52510626e-09  5.36350000e-09  2.47423482e-09 
 5.94450000e-09  9.40364585e-01  5.94450000e-09  2.68090852e-09  5.94450000e-09  2.47812421e-09 
 5.94550000e-09  9.77394671e-01  5.94550000e-09  2.66344505e-09  5.94550000e-09  2.45694315e-09 
 5.94650000e-09  1.01415662e+00  5.94650000e-09  2.66563666e-09  5.94650000e-09  2.47799892e-09 
 5.94750000e-09  1.05056984e+00  5.94750000e-09  2.64500566e-09  5.94750000e-09  2.45704840e-09 
 5.94850000e-09  1.08660249e+00  5.94850000e-09  2.65619737e-09  5.94850000e-09  2.47791759e-09 
 5.94950000e-09  1.12234123e+00  5.94950000e-09  2.65110053e-09  5.94950000e-09  2.45717868e-09 
 6.48050000e-09  1.14938582e+00  6.48050000e-09  2.46785145e-09  6.48050000e-09  2.45965059e-09 
 6.48150000e-09  1.09707656e+00  6.48150000e-09  2.50078017e-09  6.48150000e-09  2.47531912e-09 
 6.48250000e-09  1.04487987e+00  6.48250000e-09  2.46946602e-09  6.48250000e-09  2.45972387e-09 
 6.48350000e-09  9.92699216e-01  6.48350000e-09  2.50163917e-09  6.48350000e-09  2.47524573e-09 
 6.48450000e-09  9.40497547e-01  6.48450000e-09  2.47088233e-09  6.48450000e-09  2.45979703e-09 
 6.48550000e-09  8.88214687e-01  6.48550000e-09  2.50213864e-09  6.48550000e-09  2.47517151e-09 
 7.06650000e-09  9.38808566e-01  7.06650000e-09  2.66512099e-09  7.06650000e-09  2.47845083e-09 
 7.06750000e-09  9.75850298e-01  7.06750000e-09  2.64801364e-09  7.06750000e-09  2.45662463e-09 
 7.06850000e-09  1.01262700e+00  7.06850000e-09  2.64905192e-09  7.06850000e-09  2.47830401e-09 
 7.06950000e-09  1.04905535e+00  7.06950000e-09  2.62987784e-09  7.06950000e-09  2.45672599e-09 
 7.07050000e-09  1.08510209e+00  7.07050000e-09  2.64037825e-09  7.07050000e-09  2.47823212e-09 
 7.07150000e-09  1.12084950e+00  7.07150000e-09  2.63636335e-09  7.07150000e-09  2.45687015e-09 
 7.60250000e-09  1.15143514e+00  7.60250000e-09  2.45873932e-09  7.60250000e-09  2.45867149e-09 
 7.60350000e-09  1.09912204e+00  7.60350000e-09  2.48728912e-09  7.60350000e-09  2.47628235e-09 
 7.60450000e-09  1.04692175e+00  7.60450000e-09  2.46044132e-09  7.60450000e-09  2.45876647e-09 
 7.60550000e-09  9.94741682e-01  7.60550000e-09  2.48820139e-09  7.60550000e-09  2.47618837e-09 
 7.60650000e-09  9.42541667e-01  7.60650000e-09  2.46189913e-09  7.60650000e-09  2.45884346e-09 
 7.60750000e-09  8.90262590e-01  7.60750000e-09  2.48932255e-09  7.60750000e-09  2.47610904e-09 
 8.18850000e-09  9.37203032e-01  8.18850000e-09  2.65605013e-09  8.18850000e-09  2.47670895e-09 
 8.18950000e-09  9.74254031e-01  8.18950000e-09  2.63980912e-09  8.18950000e-09  2.45835402e-09 
 8.19050000e-09  1.01104411e+00  8.19050000e-09  2.64023353e-09  8.19050000e-09  2.47658277e-09 
 8.19150000e-09  1.04748875e+00  8.19150000e-09  2.62143915e-09  8.19150000e-09  2.45843956e-09 
 8.19250000e-09  1.08355074e+00  8.19250000e-09  2.63118402e-09  8.19250000e-09  2.47652349e-09 
 8.19350000e-09  1.11930769e+00  8.19350000e-09  2.62768918e-09  8.19350000e-09  2.45856374e-09 
 8.72450000e-09  1.15382095e+00  8.72450000e-09  2.45537909e-09  8.72450000e-09  2.45766757e-09 
 8.72550000e-09  1.10150323e+00  8.72550000e-09  2.47947918e-09  8.72550000e-09  2.47728171e-09 
 8.72650000e-09  1.04929853e+00  8.72650000e-09  2.45717860e-09  8.72650000e-09  2.45776266e-09 
 8.72750000e-09  9.97118980e-01  8.72750000e-09  2.48050536e-09  8.72750000e-09  2.47718418e-09 
 8.72850000e-09  9.44920721e-01  8.72850000e-09  2.45869811e-09  8.72850000e-09  2.45785903e-09 
 8.72950000e-09  8.92645992e-01  8.72950000e-09  2.48108772e-09  8.72950000e-09  2.47708903e-09 
 9.31050000e-09  9.35035482e-01  9.31050000e-09  2.64912398e-09  9.31050000e-09  2.47541687e-09 
 9.31150000e-09  9.72097336e-01  9.31150000e-09  2.63809319e-09  9.31150000e-09  2.45963999e-09 
 9.31250000e-09  1.00890412e+00  9.31250000e-09  2.63525812e-09  9.31250000e-09  2.47530757e-09 
 9.31350000e-09  1.04537146e+00  9.31350000e-09  2.61873764e-09  9.31350000e-09  2.45970516e-09 
 9.31450000e-09  1.08145466e+00  9.31450000e-09  2.62416611e-09  9.31450000e-09  2.47525972e-09 
 9.31550000e-09  1.11722547e+00  9.31550000e-09  2.62392219e-09  9.31550000e-09  2.45981752e-09 
 9.84650000e-09  1.15691088e+00  9.84650000e-09  2.45768764e-09  9.84650000e-09  2.45633996e-09 
 9.84750000e-09  1.10458727e+00  9.84750000e-09  2.47372037e-09  9.84750000e-09  2.47859427e-09 
 9.84850000e-09  1.05237689e+00  9.84850000e-09  2.45672388e-09  9.84850000e-09  2.45645138e-09 
 9.84950000e-09  1.00019801e+00  9.84950000e-09  2.47347673e-09  9.84950000e-09  2.47848631e-09 
 9.85050000e-09  9.48002036e-01  9.85050000e-09  2.45784640e-09  9.85050000e-09  2.45656573e-09 
 9.85150000e-09  8.95732986e-01  9.85150000e-09  2.47410520e-09  9.85150000e-09  2.47837550e-09 
 1.04325000e-08  9.32722727e-01  1.04325000e-08  2.64472547e-09  1.04325000e-08  2.47311954e-09 
 1.04335000e-08  9.69797639e-01  1.04335000e-08  2.63589398e-09  1.04335000e-08  2.46192261e-09 
 1.04345000e-08  1.00662315e+00  1.04345000e-08  2.63149932e-09  1.04345000e-08  2.47303705e-09 
 1.04355000e-08  1.04311371e+00  1.04355000e-08  2.61616176e-09  1.04355000e-08  2.46196585e-09 
 1.04365000e-08  1.07921923e+00  1.04365000e-08  2.61966698e-09  1.04365000e-08  2.47300852e-09 
 1.04375000e-08  1.11500508e+00  1.04375000e-08  2.62081840e-09  1.04375000e-08  2.46205251e-09 
 1.09415000e-08  2.05287016e+00  1.09415000e-08  2.46129334e-09  1.09415000e-08  2.48107618e-09 
 1.09685000e-08  1.16001325e+00  1.09685000e-08  2.46002482e-09  1.09685000e-08  2.45569332e-09 
 1.09695000e-08  1.10768362e+00  1.09695000e-08  2.46895052e-09  1.09695000e-08  2.47924187e-09 
 1.09705000e-08  1.05546733e+00  1.09705000e-08  2.46383050e-09  1.09705000e-08  2.45581688e-09 
 1.09715000e-08  1.00328894e+00  1.09715000e-08  2.46871953e-09  1.09715000e-08  2.47911397e-09 
 1.09725000e-08  9.51095083e-01  1.09725000e-08  2.46250362e-09  1.09725000e-08  2.45593795e-09 
 1.09735000e-08  8.98831655e-01  1.09735000e-08  2.47004628e-09  1.09735000e-08  2.47899995e-09 
 1.15545000e-08  9.30670937e-01  1.15545000e-08  2.64177052e-09  1.15545000e-08  2.47008480e-09 
 1.15555000e-08  9.67757160e-01  1.15555000e-08  2.63451691e-09  1.15555000e-08  2.46493481e-09 
 1.15565000e-08  1.00459899e+00  1.15565000e-08  2.62903324e-09  1.15565000e-08  2.47004006e-09 
 1.15575000e-08  1.04111004e+00  1.15575000e-08  2.61459551e-09  1.15575000e-08  2.46495058e-09 
 1.15585000e-08  1.07723557e+00  1.15585000e-08  2.61575592e-09  1.15585000e-08  2.47003501e-09 
 1.15595000e-08  1.11303534e+00  1.15595000e-08  2.61748617e-09  1.15595000e-08  2.46500420e-09 
 1.20905000e-08  1.16292045e+00  1.20905000e-08  2.46565021e-09  1.20905000e-08  2.45623816e-09 
 1.20915000e-08  1.11058506e+00  1.20915000e-08  2.45999471e-09  1.20915000e-08  2.47869231e-09 
 1.20925000e-08  1.05836305e+00  1.20925000e-08  2.46959872e-09  1.20925000e-08  2.45636267e-09 
 1.20935000e-08  1.00618493e+00  1.20935000e-08  2.46004764e-09  1.20935000e-08  2.47856791e-09 
