 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749735e-09  0.00000000e+00  2.46749746e-09 
 2.57850000e-09  9.39878042e-01  2.57850000e-09  3.43043782e-09  2.57850000e-09  2.46809134e-09 
 2.57950000e-09  9.75581993e-01  2.57950000e-09  3.30062949e-09  2.57950000e-09  2.46720616e-09 
 2.58050000e-09  1.01193284e+00  2.58050000e-09  1.71595010e-09  2.58050000e-09  2.46487319e-09 
 2.58150000e-09  1.04913600e+00  2.58150000e-09 -5.48881496e-11  2.58150000e-09  2.46573512e-09 
 2.58250000e-09  1.08676735e+00  2.58250000e-09  5.80804294e-10  2.58250000e-09  2.47067161e-09 
 2.58350000e-09  1.12430828e+00  2.58350000e-09  2.29015101e-09  2.58350000e-09  2.47134169e-09 
 2.84650000e-09  1.94993830e+00  2.84650000e-09  7.88496928e-01  2.84650000e-09 -4.24909519e-05 
 2.84750000e-09  1.94993906e+00  2.84750000e-09  8.71589688e-01  2.84750000e-09 -9.46048108e-05 
 2.84850000e-09  1.94993982e+00  2.84850000e-09  9.53068651e-01  2.84850000e-09 -1.38693583e-04 
 2.84950000e-09  1.94994055e+00  2.84950000e-09  1.03277405e+00  2.84950000e-09 -1.69070646e-04 
 2.85050000e-09  1.94994128e+00  2.85050000e-09  1.11063895e+00  2.85050000e-09 -1.88667309e-04 
 2.85150000e-09  1.94994198e+00  2.85150000e-09  1.18677353e+00  2.85150000e-09 -2.03919964e-04 
 2.96650000e-09  1.94997278e+00  2.96650000e-09  1.94994101e+00  2.96650000e-09  8.87737840e-01 
 2.96750000e-09  1.94997286e+00  2.96750000e-09  1.94994816e+00  2.96750000e-09  9.48100241e-01 
 2.96850000e-09  1.94997285e+00  2.96850000e-09  1.94995424e+00  2.96850000e-09  1.00768970e+00 
 2.96950000e-09  1.94997279e+00  2.96950000e-09  1.94995970e+00  2.96950000e-09  1.06927795e+00 
 2.97050000e-09  1.94997268e+00  2.97050000e-09  1.94996578e+00  2.97050000e-09  1.13660323e+00 
 2.97150000e-09  1.94997265e+00  2.97150000e-09  1.94995904e+00  2.97150000e-09  1.20989241e+00 
 3.11450000e-09  1.13561981e+00  3.11450000e-09  1.94999964e+00  3.11450000e-09  1.94997842e+00 
 3.11550000e-09  1.08285305e+00  3.11550000e-09  1.94999982e+00  3.11550000e-09  1.94999294e+00 
 3.11650000e-09  1.03032231e+00  3.11650000e-09  1.94999966e+00  3.11650000e-09  1.94997762e+00 
 3.11750000e-09  9.77923860e-01  3.11750000e-09  1.94999988e+00  3.11750000e-09  1.94998764e+00 
