 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749732e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09993250e-01  2.57750000e-09  2.96581018e-09  2.57750000e-09  2.46768622e-09 
 2.57850000e-09  9.51182927e-01  2.57850000e-09  2.96513258e-09  2.57850000e-09  2.46768667e-09 
 2.57950000e-09  9.91847507e-01  2.57950000e-09  2.96448610e-09  2.57950000e-09  2.46768478e-09 
 2.58050000e-09  1.03202682e+00  2.58050000e-09  2.96387892e-09  2.58050000e-09  2.46768556e-09 
 2.58150000e-09  1.07178660e+00  2.58150000e-09  2.96329666e-09  2.58150000e-09  2.46768522e-09 
 2.58250000e-09  1.11122541e+00  2.58250000e-09  2.96272359e-09  2.58250000e-09  2.46768611e-09 
 3.11450000e-09  1.13477330e+00  3.11450000e-09 -1.36543779e-06  3.11450000e-09  2.30902869e-09 
 3.11550000e-09  1.08280220e+00  3.11550000e-09 -1.33384602e-06  3.11550000e-09  2.62426481e-09 
 3.11650000e-09  1.03111548e+00  3.11650000e-09 -1.30605353e-06  3.11650000e-09  2.31028763e-09 
 3.11750000e-09  9.79607934e-01  3.11750000e-09 -1.27579149e-06  3.11750000e-09  2.62293320e-09 
 3.11850000e-09  9.28256271e-01  3.11850000e-09 -1.24924730e-06  3.11850000e-09  2.31131786e-09 
 3.11950000e-09  8.76988817e-01  3.11950000e-09 -1.22025793e-06  3.11950000e-09  2.62158500e-09 
 3.69950000e-09  9.07774235e-01  3.69950000e-09  2.34754360e-06  3.69950000e-09  2.76710921e-09 
 3.70050000e-09  9.48992847e-01  3.70050000e-09  2.28569910e-06  3.70050000e-09  2.16756646e-09 
 3.70150000e-09  9.89684578e-01  3.70150000e-09  2.23229988e-06  3.70150000e-09  2.76542406e-09 
 3.70250000e-09  1.02988855e+00  3.70250000e-09  2.17341220e-06  3.70250000e-09  2.16993545e-09 
 3.70350000e-09  1.06966865e+00  3.70350000e-09  2.12273762e-06  3.70350000e-09  2.76354073e-09 
 3.70450000e-09  1.10912172e+00  3.70450000e-09  2.06666324e-06  3.70450000e-09  2.17210594e-09 
 4.23650000e-09  1.13755502e+00  4.23650000e-09 -1.32797143e-06  4.23650000e-09  2.35415532e-09 
 4.23750000e-09  1.08556685e+00  4.23750000e-09 -1.29783581e-06  4.23750000e-09  2.57902943e-09 
 4.23850000e-09  1.03386868e+00  4.23850000e-09 -1.27020927e-06  4.23850000e-09  2.35501896e-09 
 4.23950000e-09  9.82351345e-01  4.23950000e-09 -1.24136318e-06  4.23950000e-09  2.57809962e-09 
 4.24050000e-09  9.30994242e-01  4.24050000e-09 -1.21495440e-06  4.24050000e-09  2.35588532e-09 
 4.24150000e-09  8.79721584e-01  4.24150000e-09 -1.18734247e-06  4.24150000e-09  2.57717764e-09 
 4.82150000e-09  9.05226085e-01  4.82150000e-09  2.34974513e-06  4.82150000e-09  2.64157357e-09 
 4.82250000e-09  9.46478003e-01  4.82250000e-09  2.28921600e-06  4.82250000e-09  2.29247110e-09 
 4.82350000e-09  9.87201040e-01  4.82350000e-09  2.23436944e-06  4.82350000e-09  2.64063466e-09 
 4.82450000e-09  1.02743349e+00  4.82450000e-09  2.17677048e-06  4.82450000e-09  2.29391139e-09 
 4.82550000e-09  1.06723722e+00  4.82550000e-09  2.12468265e-06  4.82550000e-09  2.63972461e-09 
 4.82650000e-09  1.10670705e+00  4.82650000e-09  2.06987070e-06  4.82650000e-09  2.29544406e-09 
 5.11650000e-09  1.94995675e+00  5.11650000e-09  3.49701771e-04  5.11650000e-09 -6.37528519e-09 
 5.35850000e-09  1.14062364e+00  5.35850000e-09 -1.33015068e-06  5.35850000e-09  2.31962755e-09 
 5.35950000e-09  1.08861629e+00  5.35950000e-09 -1.29961119e-06  5.35950000e-09  2.61354199e-09 
 5.36050000e-09  1.03690515e+00  5.36050000e-09 -1.27229956e-06  5.36050000e-09  2.32071534e-09 
 5.36150000e-09  9.85376700e-01  5.36150000e-09 -1.24305981e-06  5.36150000e-09  2.61230482e-09 
 5.36250000e-09  9.34013382e-01  5.36250000e-09 -1.21695987e-06  5.36250000e-09  2.32180519e-09 
 5.36350000e-09  8.82734552e-01  5.36350000e-09 -1.18896393e-06  5.36350000e-09  2.61116823e-09 
 5.94450000e-09  9.44029487e-01  5.94450000e-09  2.29331927e-06  5.94450000e-09  2.43494513e-09 
 5.94550000e-09  9.84783148e-01  5.94550000e-09  2.23684063e-06  5.94550000e-09  2.49850435e-09 
 5.94650000e-09  1.02504354e+00  5.94650000e-09  2.18069100e-06  5.94650000e-09  2.43542914e-09 
 5.94750000e-09  1.06487060e+00  5.94750000e-09  2.12700974e-06  5.94750000e-09  2.49857690e-09 
 5.94850000e-09  1.10435717e+00  5.94850000e-09  2.07361683e-06  5.94850000e-09  2.43588372e-09 
 5.94950000e-09  1.14362995e+00  5.94950000e-09  2.02259490e-06  5.94950000e-09  2.49862275e-09 
 6.48050000e-09  1.14390811e+00  6.48050000e-09 -1.33223134e-06  6.48050000e-09  2.27403041e-09 
 6.48150000e-09  1.09188276e+00  6.48150000e-09 -1.30132286e-06  6.48150000e-09  2.65887495e-09 
 6.48250000e-09  1.04015539e+00  6.48250000e-09 -1.27429104e-06  6.48250000e-09  2.27554942e-09 
 6.48350000e-09  9.88617220e-01  6.48350000e-09 -1.24469325e-06  6.48350000e-09  2.65729805e-09 
 6.48450000e-09  9.37245222e-01  6.48450000e-09 -1.21888274e-06  6.48450000e-09  2.27705022e-09 
 6.48550000e-09  8.85961833e-01  6.48550000e-09 -1.19054087e-06  6.48550000e-09  2.65574446e-09 
 7.06650000e-09  9.42682097e-01  7.06650000e-09  2.29731395e-06  7.06650000e-09  2.52454252e-09 
 7.06750000e-09  9.83452507e-01  7.06750000e-09  2.23968155e-06  7.06750000e-09  2.40923065e-09 
 7.06850000e-09  1.02372845e+00  7.06850000e-09  2.18450213e-06  7.06850000e-09  2.52441607e-09 
 7.06950000e-09  1.06356832e+00  7.06950000e-09  2.12969422e-06  7.06950000e-09  2.40990738e-09 
 7.07050000e-09  1.10306439e+00  7.07050000e-09  2.07725310e-06  7.07050000e-09  2.52425642e-09 
 7.07150000e-09  1.14234178e+00  7.07150000e-09  2.02513101e-06  7.07150000e-09  2.41056203e-09 
 7.60250000e-09  1.14540558e+00  7.60250000e-09 -1.33338681e-06  7.60250000e-09  2.24738389e-09 
 7.60350000e-09  1.09337185e+00  7.60350000e-09 -1.30228065e-06  7.60350000e-09  2.68547817e-09 
 7.60450000e-09  1.04163660e+00  7.60450000e-09 -1.27540960e-06  7.60450000e-09  2.24916002e-09 
 7.60550000e-09  9.90093853e-01  7.60550000e-09 -1.24560826e-06  7.60550000e-09  2.68367112e-09 
 7.60650000e-09  9.38717529e-01  7.60650000e-09 -1.21993607e-06  7.60650000e-09  2.25092406e-09 
 7.60750000e-09  8.87431787e-01  7.60750000e-09 -1.19138754e-06  7.60750000e-09  2.68174011e-09 
 8.18850000e-09  9.40591236e-01  8.18850000e-09  2.30130998e-06  8.18850000e-09  2.58144267e-09 
 8.18950000e-09  9.81387517e-01  8.18950000e-09  2.24285146e-06  8.18950000e-09  2.35260095e-09 
 8.19050000e-09  1.02168795e+00  8.19050000e-09  2.18831108e-06  8.19050000e-09  2.58097765e-09 
 8.19150000e-09  1.06154770e+00  8.19150000e-09  2.13269694e-06  8.19150000e-09  2.35362385e-09 
 8.19250000e-09  1.10105900e+00  8.19250000e-09  2.08088396e-06  8.19250000e-09  2.58047672e-09 
 8.19350000e-09  1.14034366e+00  8.19350000e-09  2.02797505e-06  8.19350000e-09  2.35461972e-09 
 8.72450000e-09  1.14819670e+00  8.72450000e-09 -1.33512914e-06  8.72450000e-09  2.20780261e-09 
 8.72550000e-09  1.09614739e+00  8.72550000e-09 -1.30369536e-06  8.72550000e-09  2.72498751e-09 
 8.72650000e-09  1.04439746e+00  8.72650000e-09 -1.27705979e-06  8.72650000e-09  2.20986712e-09 
 8.72750000e-09  9.92846174e-01  8.72750000e-09 -1.24695177e-06  8.72750000e-09  2.72282297e-09 
 8.72850000e-09  9.41461799e-01  8.72850000e-09 -1.22153747e-06  8.72850000e-09  2.21191127e-09 
 8.72950000e-09  8.90172276e-01  8.72950000e-09 -1.19270051e-06  8.72950000e-09  2.72070028e-09 
 9.31050000e-09  9.38160474e-01  9.31050000e-09  2.30283281e-06  9.31050000e-09  2.60940508e-09 
 9.31150000e-09  9.78987098e-01  9.31150000e-09  2.24392544e-06  9.31150000e-09  2.32475911e-09 
 9.31250000e-09  1.01931605e+00  9.31250000e-09  2.18976588e-06  9.31250000e-09  2.60884087e-09 
 9.31350000e-09  1.05919932e+00  9.31350000e-09  2.13371234e-06  9.31350000e-09  2.32587805e-09 
 9.31450000e-09  1.09872857e+00  9.31450000e-09  2.08227391e-06  9.31450000e-09  2.60823907e-09 
 9.31550000e-09  1.13802228e+00  9.31550000e-09  2.02893486e-06  9.31550000e-09  2.32697528e-09 
 9.84650000e-09  1.15079723e+00  9.84650000e-09 -1.33714855e-06  9.84650000e-09  2.15266793e-09 
 9.84750000e-09  1.09873342e+00  9.84750000e-09 -1.30515426e-06  9.84750000e-09  2.77993717e-09 
 9.84850000e-09  1.04696976e+00  9.84850000e-09 -1.27901848e-06  9.84850000e-09  2.15517482e-09 
 9.84950000e-09  9.95410482e-01  9.84950000e-09 -1.24834711e-06  9.84950000e-09  2.77740747e-09 
 9.85050000e-09  9.44018613e-01  9.85050000e-09 -1.22338885e-06  9.85050000e-09  2.15767992e-09 
 9.85150000e-09  8.92725418e-01  9.85150000e-09 -1.19399687e-06  9.85150000e-09  2.77486090e-09 
 1.04325000e-08  9.35911716e-01  1.04325000e-08  2.30604421e-06  1.04325000e-08  2.66415712e-09 
 1.04335000e-08  9.76766957e-01  1.04335000e-08  2.24639061e-06  1.04335000e-08  2.27025621e-09 
 1.04345000e-08  1.01712193e+00  1.04345000e-08  2.19282873e-06  1.04345000e-08  2.66324801e-09 
 1.04355000e-08  1.05702765e+00  1.04355000e-08  2.13604612e-06  1.04355000e-08  2.27171987e-09 
 1.04365000e-08  1.09657338e+00  1.04365000e-08  2.08519531e-06  1.04365000e-08  2.66229944e-09 
 1.04375000e-08  1.13587631e+00  1.04375000e-08  2.03114398e-06  1.04375000e-08  2.27316171e-09 
 1.09685000e-08  1.15362424e+00  1.09685000e-08 -1.33901070e-06  1.09685000e-08  2.09842727e-09 
 1.09695000e-08  1.10154455e+00  1.09695000e-08 -1.30652067e-06  1.09695000e-08  2.83414747e-09 
 1.09705000e-08  1.04976580e+00  1.09705000e-08 -1.28081000e-06  1.09705000e-08  2.10126105e-09 
 1.09715000e-08  9.98197673e-01  1.09715000e-08 -1.24967356e-06  1.09715000e-08  2.83116686e-09 
 1.09725000e-08  9.46797550e-01  1.09725000e-08 -1.22512793e-06  1.09725000e-08  2.10422646e-09 
 1.09735000e-08  8.95500299e-01  1.09735000e-08 -1.19526764e-06  1.09735000e-08  2.82822449e-09 
