 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749715e-09  0.00000000e+00  2.46749746e-09 
 2.57750000e-09  9.09998518e-01  2.57750000e-09  2.96587782e-09  2.57750000e-09  2.46768550e-09 
 2.57850000e-09  9.51189493e-01  2.57850000e-09  2.96519975e-09  2.57850000e-09  2.46768567e-09 
 2.57950000e-09  9.91855374e-01  2.57950000e-09  2.96453284e-09  2.57950000e-09  2.46768450e-09 
 2.58050000e-09  1.03203584e+00  2.58050000e-09  2.96388664e-09  2.58050000e-09  2.46768544e-09 
 2.58150000e-09  1.07179645e+00  2.58150000e-09  2.96325559e-09  2.58150000e-09  2.46768439e-09 
 2.58250000e-09  1.11123554e+00  2.58250000e-09  2.96263908e-09  2.58250000e-09  2.46768594e-09 
 2.91550000e-09  1.94995861e+00  2.91550000e-09  8.76886309e-01  2.91550000e-09 -8.96002532e-05 
 2.91650000e-09  1.94995894e+00  2.91650000e-09  9.47018091e-01  2.91650000e-09 -1.23159817e-04 
 2.91750000e-09  1.94995933e+00  2.91750000e-09  1.01652792e+00  2.91750000e-09 -1.42961985e-04 
 2.91850000e-09  1.94995964e+00  2.91850000e-09  1.08540359e+00  2.91850000e-09 -1.57339819e-04 
 2.91950000e-09  1.94996001e+00  2.91950000e-09  1.15374855e+00  2.91950000e-09 -1.73823192e-04 
 2.92050000e-09  1.94996030e+00  2.92050000e-09  1.22187258e+00  2.92050000e-09 -1.95941016e-04 
 3.03450000e-09  1.94964749e+00  3.03450000e-09  1.94987532e+00  3.03450000e-09  8.56947461e-01 
 3.03550000e-09  1.94928575e+00  3.03550000e-09  1.94988226e+00  3.03550000e-09  9.18043544e-01 
 3.03650000e-09  1.94891149e+00  3.03650000e-09  1.94989122e+00  3.03650000e-09  9.77868675e-01 
 3.03750000e-09  1.94847683e+00  3.03750000e-09  1.94989792e+00  3.03750000e-09  1.03783271e+00 
 3.03850000e-09  1.94801885e+00  3.03850000e-09  1.94990735e+00  3.03850000e-09  1.10169224e+00 
 3.03950000e-09  1.94753758e+00  3.03950000e-09  1.94990403e+00  3.03950000e-09  1.17313777e+00 
 3.11450000e-09  1.13424009e+00  3.11450000e-09  1.94997809e+00  3.11450000e-09  1.94942203e+00 
 3.11550000e-09  1.08227157e+00  3.11550000e-09  1.94997829e+00  3.11550000e-09  1.94947618e+00 
 3.11650000e-09  1.03058661e+00  3.11650000e-09  1.94997925e+00  3.11650000e-09  1.94949997e+00 
 3.11750000e-09  9.79080854e-01  3.11750000e-09  1.94997939e+00  3.11750000e-09  1.94954791e+00 
 3.11850000e-09  9.27730490e-01  3.11850000e-09  1.94998027e+00  3.11850000e-09  1.94956696e+00 
 3.11950000e-09  8.76464939e-01  3.11950000e-09  1.94998037e+00  3.11950000e-09  1.94960951e+00 
 3.63150000e-09  3.42934728e-03  3.63150000e-09  1.15637569e+00  3.63150000e-09  1.94995935e+00 
 3.63250000e-09  3.32384500e-03  3.63250000e-09  1.11269027e+00  3.63250000e-09  1.94995801e+00 
 3.63350000e-09  3.23075920e-03  3.63350000e-09  1.06855241e+00  3.63350000e-09  1.94995900e+00 
 3.63450000e-09  3.15410660e-03  3.63450000e-09  1.02398183e+00  3.63450000e-09  1.94996389e+00 
 3.63550000e-09  3.09321715e-03  3.63550000e-09  9.78976198e-01  3.63550000e-09  1.94997263e+00 
 3.63650000e-09  3.04797398e-03  3.63650000e-09  9.33557995e-01  3.63650000e-09  1.94998615e+00 
 3.69950000e-09  9.08710101e-01  3.69950000e-09  5.34422738e-03  3.69950000e-09  1.94967508e+00 
 3.70050000e-09  9.49918436e-01  3.70050000e-09  5.33355373e-03  3.70050000e-09  1.95037288e+00 
 3.70150000e-09  9.90601007e-01  3.70150000e-09  5.30020263e-03  3.70150000e-09  1.95105465e+00 
 3.70250000e-09  1.03079714e+00  3.70250000e-09  5.23788138e-03  3.70250000e-09  1.95156708e+00 
 3.70350000e-09  1.07057150e+00  3.70350000e-09  5.13690582e-03  3.70350000e-09  1.95191949e+00 
 3.70450000e-09  1.11002304e+00  3.70450000e-09  5.00850825e-03  3.70450000e-09  1.95213607e+00 
 4.03550000e-09  1.94995784e+00  4.03550000e-09  8.18200656e-01  4.03550000e-09  1.95001836e+00 
 4.03650000e-09  1.94995820e+00  4.03650000e-09  8.88685325e-01  4.03650000e-09  1.94992295e+00 
 4.03750000e-09  1.94995859e+00  4.03750000e-09  9.58540221e-01  4.03750000e-09  1.94980997e+00 
 4.03850000e-09  1.94995893e+00  4.03850000e-09  1.02761616e+00  4.03850000e-09  1.94968259e+00 
 4.03950000e-09  1.94995931e+00  4.03950000e-09  1.09592722e+00  4.03950000e-09  1.94955799e+00 
 4.04050000e-09  1.94995964e+00  4.04050000e-09  1.16363631e+00  4.04050000e-09  1.94943943e+00 
 4.16950000e-09  1.94247322e+00  4.16950000e-09  1.94993442e+00  4.16950000e-09  1.19080633e+00 
 4.17050000e-09  1.94184035e+00  4.17050000e-09  1.94996386e+00  4.17050000e-09  1.13327130e+00 
 4.17150000e-09  1.94115078e+00  4.17150000e-09  1.94999342e+00  4.17150000e-09  1.07562844e+00 
 4.17250000e-09  1.94035493e+00  4.17250000e-09  1.95002016e+00  4.17250000e-09  1.01767211e+00 
 4.17350000e-09  1.93939161e+00  4.17350000e-09  1.95004466e+00  4.17350000e-09  9.59286047e-01 
 4.17450000e-09  1.93819413e+00  4.17450000e-09  1.95005951e+00  4.17450000e-09  9.00301888e-01 
 4.23650000e-09  1.13635821e+00  4.23650000e-09  1.94999162e+00  4.23650000e-09  2.76347039e-03 
 4.23750000e-09  1.08437677e+00  4.23750000e-09  1.94999138e+00  4.23750000e-09  2.65378683e-03 
 4.23850000e-09  1.03268323e+00  4.23850000e-09  1.94999017e+00  4.23850000e-09  2.58464642e-03 
 4.23950000e-09  9.81170151e-01  4.23950000e-09  1.94999014e+00  4.23950000e-09  2.48302672e-03 
 4.24050000e-09  9.29815688e-01  4.24050000e-09  1.94998917e+00  4.24050000e-09  2.42122372e-03 
 4.24150000e-09  8.78546032e-01  4.24150000e-09  1.94998930e+00  4.24150000e-09  2.32640522e-03 
 4.75350000e-09  3.43210127e-03  4.75350000e-09  1.15839734e+00  4.75350000e-09 -1.93995313e-06 
 4.75450000e-09  3.32620038e-03  4.75450000e-09  1.11473110e+00  4.75450000e-09 -3.93961770e-07 
 4.75550000e-09  3.23288958e-03  4.75550000e-09  1.07061305e+00  4.75550000e-09 -2.09147563e-07 
 4.75650000e-09  3.15571478e-03  4.75650000e-09  1.02606131e+00  4.75650000e-09  2.09039090e-06 
 4.75750000e-09  3.09456081e-03  4.75750000e-09  9.81075192e-01  4.75750000e-09  2.96978860e-06 
 4.75850000e-09  3.04887046e-03  4.75850000e-09  9.35675664e-01  4.75850000e-09  5.28910644e-06 
 4.82150000e-09  9.07628821e-01  4.82150000e-09  4.74326447e-03  4.82150000e-09  2.02147231e-04 
 4.82250000e-09  9.48851318e-01  4.82250000e-09  4.76342084e-03  4.82250000e-09  1.85119447e-04 
 4.82350000e-09  9.89547153e-01  4.82350000e-09  4.76966833e-03  4.82350000e-09  1.60832748e-04 
 4.82450000e-09  1.02975534e+00  4.82450000e-09  4.73696240e-03  4.82450000e-09  1.15962732e-04 
 4.82550000e-09  1.06953964e+00  4.82550000e-09  4.65692226e-03  4.82550000e-09  5.23190215e-05 
 4.82650000e-09  1.10899817e+00  4.82650000e-09  4.54295588e-03  4.82650000e-09 -3.86742963e-05 
 5.15850000e-09  1.94995819e+00  5.15850000e-09  8.85105475e-01  5.15850000e-09 -9.49735282e-05 
