 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749735e-09  0.00000000e+00  2.46749746e-09 
 2.57850000e-09  9.42480532e-01  2.57850000e-09  2.98828934e-09  2.57850000e-09  2.46773701e-09 
 2.57950000e-09  9.78656607e-01  2.57950000e-09  3.32279271e-09  2.57950000e-09  2.46827458e-09 
 2.58050000e-09  1.01493699e+00  2.58050000e-09  3.18643217e-09  2.58050000e-09  2.46720616e-09 
 2.58150000e-09  1.05106651e+00  2.58150000e-09  2.86222102e-09  2.58150000e-09  2.46712301e-09 
 2.58250000e-09  1.08689167e+00  2.58250000e-09  1.90130550e-09  2.58250000e-09  2.46615406e-09 
 2.58350000e-09  1.12241113e+00  2.58350000e-09  1.35738726e-09  2.58350000e-09  2.46760562e-09 
 2.81750000e-09  1.94999898e+00  2.81750000e-09  8.49954023e-01  2.81750000e-09 -8.13952213e-05 
 2.81850000e-09  1.94999954e+00  2.81850000e-09  9.31882626e-01  2.81850000e-09 -1.27879318e-04 
 2.81950000e-09  1.94999909e+00  2.81950000e-09  1.01205813e+00  2.81950000e-09 -1.62897938e-04 
 2.82050000e-09  1.94999963e+00  2.82050000e-09  1.09040754e+00  2.82050000e-09 -1.83411301e-04 
 2.82150000e-09  1.94999918e+00  2.82150000e-09  1.16697473e+00  2.82150000e-09 -1.99190020e-04 
 2.82250000e-09  1.94999971e+00  2.82250000e-09  1.24192730e+00  2.82250000e-09 -2.24911692e-04 
 2.93650000e-09  1.94999987e+00  2.93650000e-09  1.94993923e+00  2.93650000e-09  8.71700304e-01 
 2.93750000e-09  1.94999977e+00  2.93750000e-09  1.94994662e+00  2.93750000e-09  9.32425027e-01 
 2.93850000e-09  1.94999994e+00  2.93850000e-09  1.94995238e+00  2.93850000e-09  9.92086609e-01 
 2.93950000e-09  1.94999984e+00  2.93950000e-09  1.94995857e+00  2.93950000e-09  1.05264312e+00 
 2.94050000e-09  1.95000002e+00  2.94050000e-09  1.94996563e+00  2.94050000e-09  1.11803437e+00 
 2.94150000e-09  1.94999996e+00  2.94150000e-09  1.94995955e+00  2.94150000e-09  1.19071783e+00 
 3.11450000e-09  1.14061443e+00  3.11450000e-09  1.94999993e+00  3.11450000e-09  1.94998661e+00 
 3.11550000e-09  1.08832405e+00  3.11550000e-09  1.95000001e+00  3.11550000e-09  1.94999280e+00 
 3.11650000e-09  1.03613867e+00  3.11650000e-09  1.94999994e+00  3.11650000e-09  1.94998723e+00 
 3.11750000e-09  9.83954524e-01  3.11750000e-09  1.95000002e+00  3.11750000e-09  1.94999573e+00 
 3.11850000e-09  9.31744274e-01  3.11850000e-09  1.94999995e+00  3.11850000e-09  1.94998720e+00 
 3.11950000e-09  8.79443755e-01  3.11950000e-09  1.95000002e+00  3.11950000e-09  1.94999305e+00 
 3.47450000e-09  2.28553982e-05  3.47450000e-09  1.16633056e+00  3.47450000e-09  1.94994034e+00 
 3.47550000e-09  2.28085405e-05  3.47550000e-09  1.11206619e+00  3.47550000e-09  1.94993578e+00 
 3.47650000e-09  2.26229000e-05  3.47650000e-09  1.05713639e+00  3.47650000e-09  1.94993476e+00 
 3.47750000e-09  2.25606911e-05  3.47750000e-09  1.00156885e+00  3.47750000e-09  1.94993937e+00 
 3.47850000e-09  2.23673068e-05  3.47850000e-09  9.45352916e-01  3.47850000e-09  1.94995032e+00 
 3.47950000e-09  2.23264606e-05  3.47950000e-09  8.88528059e-01  3.47950000e-09  1.94996837e+00 
 3.70050000e-09  9.45303104e-01  3.70050000e-09  3.64094270e-05  3.70050000e-09  1.94998898e+00 
 3.70150000e-09  9.82306617e-01  3.70150000e-09  3.46309915e-05  3.70150000e-09  1.94998916e+00 
 3.70250000e-09  1.01903656e+00  3.70250000e-09  3.46321343e-05  3.70250000e-09  1.94998959e+00 
 3.70350000e-09  1.05539876e+00  3.70350000e-09  3.29150056e-05  3.70350000e-09  1.94998975e+00 
 3.70450000e-09  1.09138220e+00  3.70450000e-09  3.29430890e-05  3.70450000e-09  1.94999016e+00 
 3.70550000e-09  1.12709274e+00  3.70550000e-09  3.12832551e-05  3.70550000e-09  1.94999030e+00 
 3.93750000e-09  1.94999951e+00  3.93750000e-09  8.18359943e-01  3.93750000e-09  1.95008534e+00 
 3.93850000e-09  1.94999963e+00  3.93850000e-09  9.00909327e-01  3.93850000e-09  1.94995452e+00 
 3.93950000e-09  1.94999958e+00  3.93950000e-09  9.81601492e-01  3.93950000e-09  1.94981917e+00 
 3.94050000e-09  1.94999969e+00  3.94050000e-09  1.06031209e+00  3.94050000e-09  1.94966553e+00 
 3.94150000e-09  1.94999963e+00  3.94150000e-09  1.13700201e+00  3.94150000e-09  1.94950727e+00 
 3.94250000e-09  1.94999973e+00  3.94250000e-09  1.21189566e+00  3.94250000e-09  1.94936326e+00 
 4.07150000e-09  1.94999965e+00  4.07150000e-09  1.94999842e+00  4.07150000e-09  1.15179351e+00 
 4.07250000e-09  1.94999972e+00  4.07250000e-09  1.95003226e+00  4.07250000e-09  1.09422645e+00 
 4.07350000e-09  1.94999980e+00  4.07350000e-09  1.95006138e+00  4.07350000e-09  1.03638163e+00 
 4.07450000e-09  1.94999988e+00  4.07450000e-09  1.95008421e+00  4.07450000e-09  9.78175860e-01 
 4.07550000e-09  1.94999988e+00  4.07550000e-09  1.95010064e+00  4.07550000e-09  9.19393556e-01 
 4.07650000e-09  1.94999978e+00  4.07650000e-09  1.95011085e+00  4.07650000e-09  8.60002985e-01 
 4.23650000e-09  1.14229996e+00  4.23650000e-09  1.94999987e+00  4.23650000e-09  1.18868176e-04 
 4.23750000e-09  1.09000537e+00  4.23750000e-09  1.94999970e+00  4.23750000e-09  1.17496390e-04 
 4.23850000e-09  1.03781886e+00  4.23850000e-09  1.94999984e+00  4.23850000e-09  1.11383211e-04 
 4.23950000e-09  9.85634746e-01  4.23950000e-09  1.94999972e+00  4.23950000e-09  1.10191868e-04 
 4.24050000e-09  9.33426800e-01  4.24050000e-09  1.94999989e+00  4.24050000e-09  1.04369130e-04 
 4.24150000e-09  8.81128797e-01  4.24150000e-09  1.94999973e+00  4.24150000e-09  1.03348063e-04 
 4.59650000e-09  2.28540793e-05  4.59650000e-09  1.16794933e+00  4.59650000e-09 -2.95731577e-06 
 4.59750000e-09  2.28032474e-05  4.59750000e-09  1.11370159e+00  4.59750000e-09 -2.26169186e-06 
 4.59850000e-09  2.25979960e-05  4.59850000e-09  1.05878993e+00  4.59850000e-09 -6.74844790e-07 
 4.59950000e-09  2.25660191e-05  4.59950000e-09  1.00323908e+00  4.59950000e-09  1.30954424e-06 
 4.60050000e-09  2.23776611e-05  4.60050000e-09  9.47041252e-01  4.60050000e-09  3.75436361e-06 
 4.60150000e-09  2.23434086e-05  4.60150000e-09  8.90233135e-01  4.60150000e-09  6.45021650e-06 
 4.82250000e-09  9.43964389e-01  4.82250000e-09  4.07196731e-05  4.82250000e-09  1.46693037e-06 
 4.82350000e-09  9.80976385e-01  4.82350000e-09  3.90857250e-05  4.82350000e-09  6.37463836e-07 
 4.82450000e-09  1.01771796e+00  4.82450000e-09  3.87096095e-05  4.82450000e-09  1.30662840e-06 
 4.82550000e-09  1.05409407e+00  4.82550000e-09  3.71389880e-05  4.82550000e-09  4.30500526e-07 
 4.82650000e-09  1.09008965e+00  4.82650000e-09  3.68024840e-05  4.82650000e-09  1.35554213e-06 
 4.82750000e-09  1.12580723e+00  4.82750000e-09  3.52905126e-05  4.82750000e-09  5.61614544e-07 
 5.05950000e-09  1.94999949e+00  5.05950000e-09  8.13362397e-01  5.05950000e-09 -5.85317176e-05 
 5.06050000e-09  1.94999968e+00  5.06050000e-09  8.96003665e-01  5.06050000e-09 -1.09957198e-04 
 5.06150000e-09  1.94999955e+00  5.06150000e-09  9.76961952e-01  5.06150000e-09 -1.51554785e-04 
 5.06250000e-09  1.94999973e+00  5.06250000e-09  1.05612853e+00  5.06250000e-09 -1.76355077e-04 
 5.06350000e-09  1.94999959e+00  5.06350000e-09  1.13346205e+00  5.06350000e-09 -1.95191746e-04 
 5.06450000e-09  1.94999977e+00  5.06450000e-09  1.20912548e+00  5.06450000e-09 -2.13008029e-04 
 5.17850000e-09  1.94999996e+00  5.17850000e-09  1.94994339e+00  5.17850000e-09  8.55842354e-01 
 5.17950000e-09  1.94999993e+00  5.17950000e-09  1.94994859e+00  5.17950000e-09  9.17040114e-01 
 5.18050000e-09  1.94999997e+00  5.18050000e-09  1.94995520e+00  5.18050000e-09  9.76976485e-01 
 5.18150000e-09  1.94999996e+00  5.18150000e-09  1.94996027e+00  5.18150000e-09  1.03702307e+00 
 5.18250000e-09  1.95000002e+00  5.18250000e-09  1.94996741e+00  5.18250000e-09  1.10091442e+00 
 5.18350000e-09  1.95000001e+00  5.18350000e-09  1.94996285e+00  5.18350000e-09  1.17239246e+00 
 5.35850000e-09  1.14397766e+00  5.35850000e-09  1.94999991e+00  5.35850000e-09  1.94999515e+00 
 5.35950000e-09  1.09167881e+00  5.35950000e-09  1.94999980e+00  5.35950000e-09  1.94999781e+00 
 5.36050000e-09  1.03949116e+00  5.36050000e-09  1.94999991e+00  5.36050000e-09  1.94999489e+00 
 5.36150000e-09  9.87307012e-01  5.36150000e-09  1.94999983e+00  5.36150000e-09  1.94999651e+00 
 5.36250000e-09  9.35101352e-01  5.36250000e-09  1.94999996e+00  5.36250000e-09  1.94999496e+00 
 5.36350000e-09  8.82805818e-01  5.36350000e-09  1.94999985e+00  5.36350000e-09  1.94999750e+00 
 5.71850000e-09  2.28530484e-05  5.71850000e-09  1.16969501e+00  5.71850000e-09  1.94994086e+00 
 5.71950000e-09  2.28115181e-05  5.71950000e-09  1.11546989e+00  5.71950000e-09  1.94993584e+00 
 5.72050000e-09  2.25969211e-05  5.72050000e-09  1.06058241e+00  5.72050000e-09  1.94993482e+00 
 5.72150000e-09  2.25742167e-05  5.72150000e-09  1.00505363e+00  5.72150000e-09  1.94993876e+00 
 5.72250000e-09  2.23766898e-05  5.72250000e-09  9.48878476e-01  5.72250000e-09  1.94994957e+00 
 5.72350000e-09  2.23514297e-05  5.72350000e-09  8.92090205e-01  5.72350000e-09  1.94996690e+00 
 5.94450000e-09  9.42748867e-01  5.94450000e-09  3.64480251e-05  5.94450000e-09  1.94998894e+00 
 5.94550000e-09  9.79768448e-01  5.94550000e-09  3.47076929e-05  5.94550000e-09  1.94998917e+00 
 5.94650000e-09  1.01652047e+00  5.94650000e-09  3.46681561e-05  5.94650000e-09  1.94998955e+00 
 5.94750000e-09  1.05290919e+00  5.94750000e-09  3.29885814e-05  5.94750000e-09  1.94998975e+00 
 5.94850000e-09  1.08891590e+00  5.94850000e-09  3.29767370e-05  5.94850000e-09  1.94999012e+00 
