 time            v(b_out)        time            v(u_puf_u_core_sel_ro) time            v(q)           
 0.00000000e+00  4.68653885e-09  0.00000000e+00  2.46749735e-09  0.00000000e+00  2.46749746e-09 
 2.57850000e-09  9.42483386e-01  2.57850000e-09  2.96541477e-09  2.57850000e-09  2.46768733e-09 
 2.57950000e-09  9.78658315e-01  2.57950000e-09  2.96487560e-09  2.57950000e-09  2.46768495e-09 
 2.58050000e-09  1.01494115e+00  2.58050000e-09  2.96409680e-09  2.58050000e-09  2.46768517e-09 
 2.58150000e-09  1.05107719e+00  2.58150000e-09  2.96317534e-09  2.58150000e-09  2.46768389e-09 
 2.58250000e-09  1.08690756e+00  2.58250000e-09  2.96146577e-09  2.58250000e-09  2.46768445e-09 
 2.58350000e-09  1.12243069e+00  2.58350000e-09  2.96039548e-09  2.58350000e-09  2.46768378e-09 
 2.85950000e-09  1.94999934e+00  2.85950000e-09  8.34154501e-01  2.85950000e-09 -7.33116228e-05 
 2.86050000e-09  1.94999971e+00  2.86050000e-09  9.16661866e-01  2.86050000e-09 -1.21863438e-04 
 2.86150000e-09  1.94999940e+00  2.86150000e-09  9.97311064e-01  2.86150000e-09 -1.59858439e-04 
 2.86250000e-09  1.94999976e+00  2.86250000e-09  1.07604944e+00  2.86250000e-09 -1.80901755e-04 
 2.86350000e-09  1.94999945e+00  2.86350000e-09  1.15291640e+00  2.86350000e-09 -1.97021211e-04 
 2.86450000e-09  1.94999981e+00  2.86450000e-09  1.22810117e+00  2.86450000e-09 -2.20139861e-04 
 2.97850000e-09  1.95000256e+00  2.97850000e-09  1.94993287e+00  2.97850000e-09  8.59387134e-01 
 2.97950000e-09  1.95000357e+00  2.97950000e-09  1.94993991e+00  2.97950000e-09  9.20420959e-01 
 2.98050000e-09  1.95000549e+00  2.98050000e-09  1.94994597e+00  2.98050000e-09  9.80215149e-01 
 2.98150000e-09  1.95000785e+00  2.98150000e-09  1.94995264e+00  2.98150000e-09  1.04025353e+00 
 2.98250000e-09  1.95001144e+00  2.98250000e-09  1.94995946e+00  2.98250000e-09  1.10434738e+00 
 2.98350000e-09  1.95001265e+00  2.98350000e-09  1.94995566e+00  2.98350000e-09  1.17604235e+00 
 3.11450000e-09  1.14021509e+00  3.11450000e-09  1.94999872e+00  3.11450000e-09  1.94998170e+00 
 3.11550000e-09  1.08792603e+00  3.11550000e-09  1.94999873e+00  3.11550000e-09  1.94998914e+00 
 3.11650000e-09  1.03574111e+00  3.11650000e-09  1.94999878e+00  3.11650000e-09  1.94998337e+00 
 3.11750000e-09  9.83556758e-01  3.11750000e-09  1.94999878e+00  3.11750000e-09  1.94999044e+00 
 3.11850000e-09  9.31345832e-01  3.11850000e-09  1.94999883e+00  3.11850000e-09  1.94998479e+00 
 3.11950000e-09  8.79044073e-01  3.11950000e-09  1.94999882e+00  3.11950000e-09  1.94999159e+00 
 3.56350000e-09  3.97828783e-05  3.56350000e-09  1.18220467e+00  3.56350000e-09  1.94994209e+00 
 3.56450000e-09  5.36592179e-05  3.56450000e-09  1.12810372e+00  3.56450000e-09  1.94993691e+00 
 3.56550000e-09  7.11418583e-05  3.56550000e-09  1.07335169e+00  3.56550000e-09  1.94993450e+00 
 3.56650000e-09  9.07860436e-05  3.56650000e-09  1.01794447e+00  3.56650000e-09  1.94993745e+00 
 3.56750000e-09  1.00623229e-04  3.56750000e-09  9.61898782e-01  3.56750000e-09  1.94994633e+00 
 3.56850000e-09  1.01672655e-04  3.56850000e-09  9.05223853e-01  3.56850000e-09  1.94996243e+00 
 3.70050000e-09  9.45239333e-01  3.70050000e-09  3.45292019e-04  3.70050000e-09  1.94984982e+00 
 3.70150000e-09  9.82245208e-01  3.70150000e-09  3.37470304e-04  3.70150000e-09  1.94985224e+00 
 3.70250000e-09  1.01898101e+00  3.70250000e-09  3.27430202e-04  3.70250000e-09  1.94985733e+00 
 3.70350000e-09  1.05535638e+00  3.70350000e-09  3.20299276e-04  3.70350000e-09  1.94985986e+00 
 3.70450000e-09  1.09135193e+00  3.70450000e-09  3.10946486e-04  3.70450000e-09  1.94986497e+00 
 3.70550000e-09  1.12706095e+00  3.70550000e-09  3.04353080e-04  3.70550000e-09  1.94986748e+00 
 3.98050000e-09  1.94999977e+00  3.98050000e-09  8.39398272e-01  3.98050000e-09  1.95005351e+00 
 3.98150000e-09  1.94999969e+00  3.98150000e-09  9.21758179e-01  3.98150000e-09  1.94992059e+00 
 3.98250000e-09  1.94999981e+00  3.98250000e-09  1.00208365e+00  3.98250000e-09  1.94977882e+00 
 3.98350000e-09  1.94999972e+00  3.98350000e-09  1.08031471e+00  3.98350000e-09  1.94962093e+00 
 3.98450000e-09  1.94999983e+00  3.98450000e-09  1.15649061e+00  3.98450000e-09  1.94946653e+00 
